number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_learning_rate,params_n_layers,params_n_units,params_optimizer,state
141,0.2998460799455643,2026-02-27 14:00:02.670733,2026-02-27 14:00:29.392431,0 days 00:00:26.721698,swish,4,0.1,0.00787685844494387,2,12,adam,COMPLETE
142,0.2765351325273514,2026-02-27 14:00:29.411107,2026-02-27 14:00:59.718750,0 days 00:00:30.307643,swish,4,0.1,0.006140594889164159,2,12,adam,COMPLETE
143,0.3041389137506485,2026-02-27 14:00:59.732690,2026-02-27 14:01:27.552799,0 days 00:00:27.820109,swish,4,0.1,0.009993783894368913,2,12,adam,COMPLETE
144,0.31778394877910615,2026-02-27 14:01:27.570418,2026-02-27 14:01:52.853658,0 days 00:00:25.283240,swish,4,0.1,0.008510010214508323,2,12,adam,COMPLETE
145,0.33857891261577605,2026-02-27 14:01:52.871342,2026-02-27 14:02:19.143334,0 days 00:00:26.271992,swish,4,0.1,0.00677100295993729,2,12,adam,COMPLETE
146,0.23726854771375655,2026-02-27 14:02:19.157604,2026-02-27 14:02:51.516497,0 days 00:00:32.358893,swish,4,0.1,0.008716712825203629,2,16,adam,COMPLETE
147,0.31111319959163664,2026-02-27 14:02:51.533724,2026-02-27 14:03:20.432535,0 days 00:00:28.898811,swish,16,0.1,0.009100114800808802,2,16,adam,COMPLETE
148,0.29048725962638855,2026-02-27 14:03:20.458143,2026-02-27 14:03:48.927132,0 days 00:00:28.468989,relu,4,0.1,0.007418545902065364,2,16,adam,COMPLETE
149,0.33392361700534823,2026-02-27 14:03:48.945139,2026-02-27 14:04:15.558261,0 days 00:00:26.613122,swish,4,0.2,0.006019683361103644,2,16,rmsprop,COMPLETE
150,0.3400769203901291,2026-02-27 14:04:15.580945,2026-02-27 14:04:43.295059,0 days 00:00:27.714114,swish,4,0.1,0.004818282451791026,2,16,adam,COMPLETE
